Date,Time,StationName,StationCode,Latitude,Longitude,GroupCode,SampleId,SampleDepth,Air temperature (AT.1),Air temperature (AT.1) Code,Air temperature (AT.1) Problem,Air temperature (AT.1) Qualifier,Air temperature (AT.1) Tier,Air temperature (AT.1) Units,Air temperature (AT.2),Air temperature (AT.2) Code,Air temperature (AT.2) Problem,Air temperature (AT.2) Qualifier,Air temperature (AT.2) Tier,Air temperature (AT.2) Units,Air temperature (AT.5),Air temperature (AT.5) Code,Air temperature (AT.5) Problem,Air temperature (AT.5) Qualifier,Air temperature (AT.5) Tier,Air temperature (AT.5) Units,Bacteria (E.Coli) (ECOLI.1),Bacteria (E.Coli) (ECOLI.1) Code,Bacteria (E.Coli) (ECOLI.1) Problem,Bacteria (E.Coli) (ECOLI.1) Qualifier,Bacteria (E.Coli) (ECOLI.1) Tier,Bacteria (E.Coli) (ECOLI.1) Units,Bacteria (E.Coli) (ECOLI.4),Bacteria (E.Coli) (ECOLI.4) Code,Bacteria (E.Coli) (ECOLI.4) Problem,Bacteria (E.Coli) (ECOLI.4) Qualifier,Bacteria (E.Coli) (ECOLI.4) Tier,Bacteria (E.Coli) (ECOLI.4) Units,Dissolved oxygen (DO.1),Dissolved oxygen (DO.1) Code,Dissolved oxygen (DO.1) Problem,Dissolved oxygen (DO.1) Qualifier,Dissolved oxygen (DO.1) Tier,Dissolved oxygen (DO.1) Units,Dissolved oxygen (DO.2),Dissolved oxygen (DO.2) Code,Dissolved oxygen (DO.2) Problem,Dissolved oxygen (DO.2) Qualifier,Dissolved oxygen (DO.2) Tier,Dissolved oxygen (DO.2) Units,pH (PH.1),pH (PH.1) Code,pH (PH.1) Problem,pH (PH.1) Qualifier,pH (PH.1) Tier,pH (PH.1) Units,pH (PH.3),pH (PH.3) Code,pH (PH.3) Problem,pH (PH.3) Qualifier,pH (PH.3) Tier,pH (PH.3) Units,pH (PH.7),pH (PH.7) Code,pH (PH.7) Problem,pH (PH.7) Qualifier,pH (PH.7) Tier,pH (PH.7) Units,Salinity (SA.1),Salinity (SA.1) Code,Salinity (SA.1) Problem,Salinity (SA.1) Qualifier,Salinity (SA.1) Tier,Salinity (SA.1) Units,Total Depth (TD.1),Total Depth (TD.1) Code,Total Depth (TD.1) Problem,Total Depth (TD.1) Qualifier,Total Depth (TD.1) Tier,Total Depth (TD.1) Units,Water Clarity (WC.1),Water Clarity (WC.1) Code,Water Clarity (WC.1) Problem,Water Clarity (WC.1) Qualifier,Water Clarity (WC.1) Tier,Water Clarity (WC.1) Units,Water Clarity (WC.4),Water Clarity (WC.4) Code,Water Clarity (WC.4) Problem,Water Clarity (WC.4) Qualifier,Water Clarity (WC.4) Tier,Water Clarity (WC.4) Units,Water Clarity (WC.6),Water Clarity (WC.6) Code,Water Clarity (WC.6) Problem,Water Clarity (WC.6) Qualifier,Water Clarity (WC.6) Tier,Water Clarity (WC.6) Units,Water temperature (WT.1),Water temperature (WT.1) Code,Water temperature (WT.1) Problem,Water temperature (WT.1) Qualifier,Water temperature (WT.1) Tier,Water temperature (WT.1) Units,Water temperature (WT.2),Water temperature (WT.2) Code,Water temperature (WT.2) Problem,Water temperature (WT.2) Qualifier,Water temperature (WT.2) Tier,Water temperature (WT.2) Units,Water temperature (WT.3),Water temperature (WT.3) Code,Water temperature (WT.3) Problem,Water temperature (WT.3) Qualifier,Water temperature (WT.3) Tier,Water temperature (WT.3) Units,Cloud Cover,Other Comments,Other Conditions,Rainfall Within 24 Hours,Rainfall Within 48 Hours,Rainfall,Sea State,Stream Flow,Tidal Stage,Water Color Description,Water Color,Water Odor Description,Water Odor,Water Surfaces,Weather Conditions Day Before Yesterday,Weather Conditions Today,Weather Conditions Yesterday,Wind Direction,Wind Speed,ModifiedDate,Comments
1/15/2022,12:06:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,-3.7,AT.2,,,2,deg C,,,,,,,100,ECOLI.1,,,1,CFU,,,,,,,11.2,DO.1,,,2,mg/L,,,,,,,6.59,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,2.6,WT.2,,,2,deg C,,,,,,,,,,0,0,8.13,,Low,,,Normal,,,Calm,,Overcast,,,,2022-01-17T20:21:29.633,
1/15/2022,12:06:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8.13,,Low,,,Normal,,,Calm,,Overcast,,,,2022-01-17T20:21:29.633,
1/17/2019,16:00:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,3,AT.2,,,2,deg C,,,,,,,,,,,,,,,,,,,10,DO.1,V,,2,mg/L,,,,,,,6.97,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,0.3,TD.1,,,1,M,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,4.7,WT.2,,,2,deg C,,,,,,,,,,,0,n/a - fell as snow,,High,,clear,,,,Ripple,,Overcast,,,,2020-02-18T21:50:29.083,"calibrations recorded wrong, post checks are in range. DO duplicate check out of range."
1/17/2019,16:00:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,DO.1,V,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,n/a - fell as snow,,High,,clear,,,,Ripple,,Overcast,,,,2020-02-18T21:50:29.083,"calibrations recorded wrong, post checks are in range. DO duplicate check out of range."
1/20/2019,9:30:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,4.4,AT.2,,,2,deg C,,,,,,,266.67,ECOLI.1,,,1,CFU,,,,,,,10.4,DO.1,,,2,mg/L,,,,,,,7.17,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,WC.4,,,1,cm,,,,,,,,,,,,,4.1,WT.2,,,2,deg C,,,,,,,,,,,29.95,39.85,,High,,brown,Abnormal,,,,,Intermittent rain,Overcast,,,2019-02-07T10:33:23.217,
1/20/2019,9:30:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95,39.85,,High,,brown,Abnormal,,,,,Intermittent rain,Overcast,,,2019-02-07T10:33:23.217,
1/26/2020,10:08:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,1,0.3,,,,,,,7.8,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,9.4,DO.1,,,2,mg/L,,,,,,,7.14,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,5.7,WT.2,,,2,deg C,,,,,,,,,,42.42,42.42,42.42,,High,,,Normal,,,Ripple,,Partly cloudy,,,,2020-04-03T18:41:31.79,
1/26/2020,10:08:00,09-PL22-Sna-DR19,RAS.09-PL22-Sna-DR19,38.9298922,-77.3458976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.42,42.42,42.42,,High,,,Normal,,,Ripple,,Partly cloudy,,,,2020-04-03T18:41:31.79,
1/27/2021,16:30:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,1,0.3,,,,,,,5.5,AT.2,,,2,deg C,,,,,,,0,ECOLI.1,,,1,CFU,,,,,,,12,DO.1,,,2,mg/L,,,,,,,6.93,PH.1,,,2,SU,,,,,,,,,,,,,,,,,,,0.2,TD.1,,,1,M,,,,,,,120,WC.4,,>,1,cm,,,,,,,,,,,,,5.6,WT.2,,,2,deg C,,,,,,,,,,7.62,7.62,8.382,,Normal,,,Normal,,,,,Partly cloudy,,,,2021-02-01T14:33:25.227,
1/27/2021,16:30:00,09-PL21-Sug-SLR4,RAS.09-PL21-Sug-SLR4,38.9787922,-77.3643976,RV,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,DO.1,,,2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,7.62,8.382,,Normal,,,Normal,,,,,Partly cloudy,,,,2021-02-01T14:33:25.227,
